"Year","Buoy","ID","Season","SST_mean","Salinity_mean","pH_mean"
2015,"Ketchikan","2015 Fall Ketchikan","Fall",NA,NA,NA
2015,"Ketchikan","2015 Winter Ketchikan","Winter",NA,NA,NA
2016,"Ketchikan","2016 Fall Ketchikan","Fall",NA,NA,NA
2016,"Ketchikan","2016 Spring Ketchikan","Spring",NA,NA,NA
2016,"Ketchikan","2016 Summer Ketchikan","Summer",NA,NA,NA
2016,"Ketchikan","2016 Winter Ketchikan","Winter",NA,NA,NA
2017,"Bayview","2017 Fall Bayview","Fall",11.5127233165369,29.4209459459459,7.82840128263857
2017,"Bayview","2017 Spring Bayview","Spring",9.83420158550396,28.4421857304643,7.95849377123443
2017,"Bayview","2017 Summer Bayview","Summer",14.9554485727232,28.6304032623471,7.99310149524241
2017,"Bayview","2017 Winter Bayview","Winter",6.6173092508973,28.7721894176219,7.76802130369341
2017,"Bellingham","2017 Spring Bellingham","Spring",11.9998321853634,20.6438338819954,NA
2017,"Bellingham","2017 Summer Bellingham","Summer",15.5616554379211,20.3281576515881,NA
2017,"Bodega","2017 Fall Bodega","Fall",13.5585155928012,NA,NA
2017,"Bodega","2017 Spring Bodega","Spring",10.6864623984812,NA,NA
2017,"Bodega","2017 Summer Bodega","Summer",11.9646978756172,NA,NA
2017,"Bodega","2017 Winter Bodega","Winter",13.1713852668369,NA,NA
2017,"Carr Inlet","2017 Fall Carr Inlet","Fall",11.3566447666997,29.4965511259542,7.78058519748092
2017,"Carr Inlet","2017 Spring Carr Inlet","Spring",11.5769321996166,27.51956338518,8.0895959013205
2017,"Carr Inlet","2017 Summer Carr Inlet","Summer",15.2950974199325,27.9427410926548,7.13066533509371
2017,"Carr Inlet","2017 Winter Carr Inlet","Winter",10.0432540723279,29.498132,7.71026847917321
2017,"Cherry Point","2017 Fall Cherry Point","Fall",NA,NA,NA
2017,"Cherry Point","2017 Summer Cherry Point","Summer",NA,NA,NA
2017,"Cherry Point","2017 Winter Cherry Point","Winter",NA,NA,NA
2017,"Coos","2017 Fall Coos","Fall",12.7259906114037,29.7864277536066,7.68789214563774
2017,"Coos","2017 Spring Coos","Spring",11.6862136142258,22.6079408766565,7.80287914826141
2017,"Coos","2017 Summer Coos","Summer",14.1520713476784,30.9778776896942,7.62259569648924
2017,"Coos","2017 Winter Coos","Winter",9.52438756201685,23.3477120110765,7.80980154609438
2017,"Homer","2017 Fall Homer","Fall",7.92767857142857,27.5800824175824,7.67287087912088
2017,"Homer","2017 Spring Homer","Spring",6.81478055077453,30.6047332185886,8.14266351118761
2017,"Homer","2017 Summer Homer","Summer",11.0928781702899,27.8540760869565,8.02227128623188
2017,"Homer","2017 Winter Homer","Winter",4.20478759271746,29.7624072825354,7.70971004720162
2017,"Humboldt","2017 Fall Humboldt","Fall",NA,NA,NA
2017,"Humboldt","2017 Spring Humboldt","Spring",NA,32.9278260869565,NA
2017,"Humboldt","2017 Summer Humboldt","Summer",NA,NA,NA
2017,"Humboldt","2017 Winter Humboldt","Winter",NA,NA,NA
2017,"Ketchikan","2017 Fall Ketchikan","Fall",NA,NA,NA
2017,"Ketchikan","2017 Spring Ketchikan","Spring",NA,NA,NA
2017,"Ketchikan","2017 Summer Ketchikan","Summer",NA,NA,NA
2017,"Ketchikan","2017 Winter Ketchikan","Winter",NA,NA,NA
2017,"Netarts","2017  Netarts",NA,12.0356215499909,30.3204498263572,7.99833704989947
2017,"P Alexander","2017 Fall P Alexander","Fall",NA,NA,NA
2017,"P Alexander","2017 Spring P Alexander","Spring",NA,NA,NA
2017,"P Alexander","2017 Summer P Alexander","Summer",NA,NA,NA
2017,"P Alexander","2017 Winter P Alexander","Winter",NA,NA,NA
2017,"Port Townsend","2017 Fall Port Townsend","Fall",NA,NA,NA
2017,"Port Townsend","2017 Summer Port Townsend","Summer",NA,NA,NA
2017,"Port Townsend","2017 Winter Port Townsend","Winter",NA,NA,NA
2017,"Tillamook","2017 Fall Tillamook","Fall",12.1313598901099,NA,NA
2017,"Tillamook","2017 Summer Tillamook","Summer",NA,NA,NA
2017,"Tillamook","2017 Winter Tillamook","Winter",NA,NA,NA
2017,"Tokeland","2017 Fall Tokeland","Fall",13.1942857142857,28.4612451827243,7.91117419955748
2017,"Tokeland","2017 Spring Tokeland","Spring",11.0424124957245,21.3119621479877,7.96202847069399
2017,"Tokeland","2017 Summer Tokeland","Summer",15.8818064212631,28.8770469246148,7.85306052623227
2017,"Tokeland","2017 Winter Tokeland","Winter",7.70644761314321,21.2819032858029,7.94454177846249
2017,"Tomales","2017 Fall Tomales","Fall",NA,NA,NA
2017,"Tomales","2017 Spring Tomales","Spring",14.8731424460714,NA,NA
2017,"Tomales","2017 Summer Tomales","Summer",NA,NA,NA
2017,"Tomales","2017 Winter Tomales","Winter",NA,NA,NA
2017,"Yaquina","2017 Fall Yaquina","Fall",NA,NA,NA
