ID,Buoy,Bay,Indiv,Farm,Distance,Lat,Lng,Date,State,Ploidy,Culture,Valve,Shell_g,Tissue_g,x,y,z,Thick,Infested
2019 Summer Carr Inlet,Carr Inlet,Chapman Cove,1,OBT,48.6,47.2249935,-123.0419723,7/1/19,WA,triploid,on,R,28.17,21.57,4.9,7.4,1.5,4.43,0
2019 Summer Carr Inlet,Carr Inlet,Chapman Cove,1,OBT,48.6,47.2249935,-123.0419723,7/1/19,WA,triploid,on,L,29.29,NA,5.5,8.5,2.3,4.06,NA
2019 Summer Carr Inlet,Carr Inlet,Chapman Cove,2,OBT,48.6,47.2249935,-123.0419723,7/1/19,WA,triploid,on,R,33.99,21.93,5.9,8.8,1.1,1.73,0
2019 Summer Carr Inlet,Carr Inlet,Chapman Cove,2,OBT,48.6,47.2249935,-123.0419723,7/1/19,WA,triploid,on,L,63.09,NA,6.3,9,3,5.28,NA
2019 Summer Carr Inlet,Carr Inlet,Chapman Cove,3,OBT,48.6,47.2249935,-123.0419723,7/1/19,WA,triploid,on,R,20.28,22.74,5.4,8.8,0.7,3.77,0
2019 Summer Carr Inlet,Carr Inlet,Chapman Cove,3,OBT,48.6,47.2249935,-123.0419723,7/1/19,WA,triploid,on,L,26.67,NA,6,10,2.3,1.12,NA
2019 Summer Carr Inlet,Carr Inlet,Chapman Cove,4,OBT,48.6,47.2249935,-123.0419723,7/1/19,WA,triploid,on,R,39.05,24.13,5.8,8.6,1.3,2.04,0
2019 Summer Carr Inlet,Carr Inlet,Chapman Cove,4,OBT,48.6,47.2249935,-123.0419723,7/1/19,WA,triploid,on,L,56.09,NA,6.5,10.1,2.4,3,NA
2019 Summer Carr Inlet,Carr Inlet,Chapman Cove,5,OBT,48.6,47.2249935,-123.0419723,7/1/19,WA,triploid,on,R,19.93,16.91,5.2,7.6,0.8,1.95,0
2019 Summer Carr Inlet,Carr Inlet,Chapman Cove,5,OBT,48.6,47.2249935,-123.0419723,7/1/19,WA,triploid,on,L,33.28,NA,6,8.7,3.4,3.62,NA
2019 Summer Carr Inlet,Carr Inlet,Chapman Cove,6,OBT,48.6,47.2249935,-123.0419723,7/1/19,WA,triploid,on,R,34.25,26.74,4.9,8.2,1.7,2.04,0
